100 10000
52 93 17
89 25 17
15 91 17
19 80 18
51 36 12
60 3 11
38 3 16
6 41 20
35 99 13
30 47 13
4 5 20
83 28 13
44 13 17
59 14 15
59 14 18
99 92 15
15 39 16
82 1 10
15 91 18
38 45 19
91 56 14
35 99 16
24 64 20
75 24 16
38 45 15
42 64 20
15 91 17
30 47 14
92 62 14
21 84 15
2 3 11
76 34 17
90 87 19
23 31 16
85 99 12
75 10 16
33 95 13
75 10 13
12 27 18
98 94 18
4 5 20
47 33 10
33 95 10
32 84 15
89 23 14
38 45 11
89 25 12
35 99 12
65 79 14
30 36 13
75 96 11
31 29 19
89 25 12
57 36 13
4 74 11
8 97 16
92 62 10
40 5 11
47 33 10
97 48 12
31 29 16
54 90 13
40 22 14
15 73 15
12 27 18
57 36 15
90 87 17
97 48 20
55 70 15
70 71 12
99 92 20
35 99 18
23 31 19
29 37 12
41 9 11
60 3 15
52 93 14
23 31 11
83 34 10
40 5 10
92 62 12
34 50 20
6 41 11
54 90 11
65 79 10
21 84 10
98 94 13
38 45 11
1 11 11
7 87 15
35 99 13
98 94 20
75 24 16
51 36 13
51 17 11
40 5 16
69 83 18
72 75 10
92 62 15
99 65 17
15 91 13
30 36 11
56 44 12
47 33 17
98 94 20
70 71 16
19 80 11
75 24 12
89 25 19
23 31 14
56 44 11
15 91 19
99 65 20
15 91 14
38 45 15
56 44 20
75 24 10
88 58 11
4 5 12
40 5 20
63 27 14
15 91 19
19 80 16
89 25 18
38 45 13
19 80 12
44 13 17
15 39 10
47 33 13
82 1 11
92 62 13
40 22 12
16 23 17
69 83 18
36 77 17
92 62 16
56 44 19
39 55 17
52 93 13
74 88 14
97 48 10
54 90 11
97 48 16
88 58 19
69 83 18
70 71 20
34 50 12
96 61 17
97 48 17
3 93 11
1 11 18
97 48 20
34 1 18
51 17 11
60 3 17
98 94 15
36 77 16
72 75 14
36 77 16
76 34 17
56 44 13
92 62 16
54 90 20
23 31 11
2 3 20
15 91 15
75 24 12
59 14 10
15 73 19
4 5 12
35 99 19
36 77 13
44 68 10
54 90 17
83 34 20
98 94 14
66 67 11
12 38 13
57 36 13
16 23 17
12 27 17
98 94 15
41 9 13
17 9 18
3 93 11
88 58 10
15 39 14
14 67 16
92 62 18
34 1 12
12 27 17
32 84 14
15 73 15
12 27 14
99 65 15
23 31 15
72 75 20
44 13 18
92 62 16
72 75 16
88 58 15
89 25 14
19 80 10
19 80 13
29 37 17
55 70 15
15 91 16
66 67 11
34 1 15
3 72 16
40 5 12
54 90 11
14 67 20
38 45 11
32 84 15
35 99 13
75 24 20
21 84 18
76 34 13
89 25 18
76 34 11
86 26 20
23 31 16
75 24 18
56 44 18
24 59 13
98 94 19
63 27 12
51 17 10
3 93 17
59 14 18
15 39 16
98 94 20
14 67 16
8 97 14
54 90 20
66 67 14
75 24 11
36 77 17
21 84 10
36 77 20
54 90 16
19 80 17
97 48 10
40 22 17
89 23 17
19 80 16
52 93 18
3 72 17
15 39 20
42 64 18
92 62 10
38 45 14
12 27 16
14 67 15
1 11 20
39 55 20
59 14 19
42 64 19
15 91 14
49 93 11
92 62 18
1 11 20
52 93 20
54 90 11
40 22 18
89 25 14
51 31 17
36 77 19
59 14 15
51 17 12
88 58 14
52 93 11
35 99 15
66 67 17
70 71 10
89 25 13
98 94 18
83 34 19
24 59 16
24 64 20
30 47 18
29 37 11
47 33 15
98 94 17
40 22 20
59 14 12
56 44 12
57 36 15
92 62 20
51 36 18
57 36 14
44 0 15
89 25 17
49 93 12
15 39 15
54 90 15
53 72 17
35 99 17
15 91 12
49 93 20
54 90 14
92 62 13
32 84 18
35 99 11
52 93 12
70 71 14
44 68 13
97 48 12
30 36 13
57 36 18
15 91 16
15 39 17
91 56 17
57 36 10
15 91 10
82 1 11
51 17 19
99 65 15
57 36 13
90 87 13
40 5 11
15 91 12
52 93 18
75 96 15
24 64 10
35 99 14
7 87 18
17 9 16
15 91 12
52 93 10
29 37 17
89 25 20
98 94 13
8 51 17
38 3 13
69 83 14
36 77 13
83 34 12
52 93 15
92 62 20
51 17 13
23 31 20
70 71 14
52 93 15
89 25 19
24 59 11
47 33 11
96 61 13
74 88 18
24 59 10
49 93 10
20 0 20
90 87 19
54 90 16
21 84 11
21 84 16
97 48 18
1 11 11
52 93 17
75 10 11
56 44 12
32 84 12
38 45 13
51 31 14
14 67 20
33 95 10
55 70 16
92 62 14
83 28 17
63 27 13
24 64 17
8 97 17
66 67 14
32 84 17
38 3 10
23 31 14
36 77 10
89 25 12
12 27 20
12 27 10
19 80 19
59 14 12
75 10 16
56 44 18
57 36 19
75 10 12
42 64 14
97 48 17
23 31 15
38 45 12
36 77 17
32 84 18
97 48 19
21 84 18
15 39 11
56 44 11
98 94 16
55 70 17
7 43 20
23 31 10
39 55 14
4 5 16
7 43 20
38 45 11
42 64 12
19 80 12
52 93 17
57 36 10
82 1 20
12 27 20
99 44 15
75 10 11
99 65 10
40 5 12
42 64 16
40 5 20
52 93 16
38 45 18
97 48 10
44 13 19
24 64 11
12 27 12
15 91 20
15 91 12
15 39 19
52 93 19
82 1 16
75 96 13
19 80 19
83 34 11
66 67 19
30 36 17
66 67 12
88 58 12
83 34 10
56 44 17
98 94 12
15 91 20
75 24 14
21 84 18
82 1 20
23 31 15
57 36 15
38 45 18
15 39 15
12 27 14
21 84 15
36 77 15
15 73 15
89 25 12
56 44 11
75 24 19
53 72 12
7 43 18
33 95 16
52 93 10
89 25 14
56 44 14
97 48 13
8 51 18
29 37 10
56 44 17
38 45 20
52 93 19
21 84 17
74 88 12
92 62 15
40 5 10
57 36 20
34 50 13
23 31 20
36 77 10
98 94 19
39 55 16
60 3 13
59 14 16
35 99 17
66 67 17
75 24 17
34 1 18
72 75 13
24 64 10
98 94 11
44 0 16
21 84 12
16 23 13
55 70 15
52 93 11
63 27 19
51 17 16
74 88 13
75 96 17
75 24 19
3 72 20
92 62 10
96 61 17
69 83 15
83 34 14
75 96 18
57 36 11
29 37 12
8 51 17
14 67 16
89 25 11
16 23 11
7 87 11
60 3 20
24 59 17
23 31 16
15 39 12
99 65 12
83 28 17
38 3 11
15 91 20
38 45 15
56 44 15
92 62 16
39 55 16
83 34 19
29 37 10
56 44 18
36 77 10
55 70 11
42 64 11
36 77 15
59 14 17
15 91 14
89 25 19
23 31 18
59 14 13
44 13 15
39 55 14
89 25 11
97 48 14
57 36 14
15 91 11
55 70 16
38 45 13
75 24 11
86 26 16
24 59 11
15 91 17
24 64 17
12 27 17
75 24 15
24 64 12
99 65 20
97 48 13
19 80 13
29 37 17
83 34 17
12 38 20
15 73 15
75 96 12
54 90 14
24 64 12
82 84 10
17 9 10
92 62 11
32 84 11
89 25 16
2 3 13
40 5 12
72 75 10
54 90 20
54 90 12
40 5 12
35 99 17
75 24 13
69 83 20
89 25 14
92 62 10
19 80 19
36 77 11
19 80 19
86 26 13
98 94 18
52 93 13
19 80 10
19 80 11
97 48 19
15 73 11
75 24 15
2 3 12
85 99 19
75 24 12
75 24 10
7 87 19
15 91 17
49 93 14
40 5 18
16 23 10
31 29 16
15 39 13
15 91 15
52 93 13
39 55 17
12 27 14
98 94 20
36 77 18
32 84 15
56 44 17
53 72 20
19 80 11
3 93 11
49 93 14
98 94 17
85 99 10
12 27 11
86 26 16
51 31 13
15 91 13
35 99 20
12 27 11
12 27 13
12 38 11
36 77 20
60 3 13
12 38 14
89 25 15
51 17 20
23 31 17
66 67 10
39 55 16
35 99 10
74 88 11
40 5 15
99 92 11
66 67 10
96 61 15
23 31 19
98 94 16
21 84 19
56 44 10
75 24 11
70 71 20
52 93 17
42 64 16
99 92 16
29 37 17
99 65 18
36 77 16
12 27 12
88 58 15
90 87 20
83 28 13
92 62 14
38 45 14
40 5 15
38 3 15
19 80 17
98 94 12
52 93 16
75 24 16
75 24 13
99 65 13
99 92 15
99 65 12
86 26 14
42 64 15
75 96 10
19 80 14
40 22 20
75 96 10
55 70 14
24 64 11
89 25 16
38 3 16
15 39 12
39 55 11
98 94 12
92 62 11
60 3 16
44 13 20
38 3 18
92 62 19
12 38 14
31 29 11
15 73 15
56 44 20
52 93 20
23 31 18
63 27 13
75 96 14
52 93 19
57 36 17
41 9 15
8 97 17
75 10 11
19 80 18
54 90 11
23 31 18
36 77 12
98 94 16
70 71 15
3 72 16
52 93 10
38 45 10
2 3 20
35 99 20
51 17 19
44 68 19
75 24 11
35 99 18
97 48 20
12 38 15
35 99 10
40 5 14
12 38 20
82 84 14
23 31 11
51 31 20
12 27 18
12 39 14
4 5 16
12 27 20
19 80 10
12 27 13
97 48 11
38 45 10
82 1 12
59 14 15
99 65 10
56 44 10
24 64 14
14 67 20
75 24 16
38 45 12
92 62 10
8 51 17
39 55 15
51 17 11
97 48 17
66 67 12
3 93 20
8 97 15
88 58 20
56 44 16
97 48 18
35 99 10
15 39 15
2 3 17
19 80 13
57 36 11
52 93 20
14 67 11
56 44 14
98 94 19
42 64 13
89 25 18
35 99 18
49 93 10
29 37 16
74 88 12
97 48 16
39 55 10
38 45 19
15 39 13
40 5 14
99 65 18
38 45 17
19 80 12
19 80 16
75 24 18
15 91 10
91 56 12
85 99 16
89 25 19
53 72 16
14 67 14
19 80 16
38 45 15
15 91 15
47 33 16
92 62 12
54 90 12
29 37 17
63 27 13
15 91 20
15 39 16
83 28 20
29 37 19
34 1 16
44 13 10
12 27 16
38 45 20
38 3 16
89 25 13
39 55 16
54 90 14
51 31 13
19 80 14
15 39 17
82 1 12
70 71 18
90 87 11
32 84 11
97 48 12
89 23 19
29 37 19
23 31 12
38 3 15
36 77 16
75 24 20
90 87 19
23 31 12
56 44 13
55 70 12
15 91 13
40 5 17
52 93 14
57 36 14
15 73 20
31 29 18
15 39 16
15 91 10
19 80 14
56 44 20
98 94 13
56 44 13
56 44 11
99 65 11
90 87 17
15 91 14
83 34 17
49 93 15
49 93 12
59 14 13
75 24 19
56 44 16
8 97 12
23 31 10
15 73 19
8 51 11
2 3 18
4 74 20
54 90 14
99 92 10
2 3 20
30 47 14
33 95 15
21 84 16
52 93 15
14 67 11
15 39 14
24 59 11
23 31 15
12 27 20
83 34 15
12 27 19
82 1 11
97 48 17
12 38 12
98 94 12
7 87 14
75 24 16
99 65 16
92 62 14
12 27 19
86 26 13
16 23 19
98 94 10
38 45 14
89 25 12
21 84 12
83 28 14
54 90 15
23 31 16
99 92 11
57 36 11
21 84 13
82 1 11
15 73 17
49 93 17
39 55 18
36 77 10
14 67 13
97 48 19
56 44 17
1 11 16
24 64 15
56 44 10
90 87 10
92 62 18
23 31 10
24 64 14
15 73 20
99 65 16
98 94 13
40 22 10
33 95 12
49 93 17
83 28 13
33 95 14
90 87 16
89 25 15
56 44 18
75 24 17
49 93 15
29 37 10
75 10 18
47 33 12
63 27 10
36 77 16
21 84 15
89 25 13
41 9 17
14 67 14
56 44 16
51 17 11
96 61 17
97 48 16
54 90 16
19 80 17
36 77 14
59 14 15
23 31 13
99 92 18
12 27 14
99 92 13
15 39 11
19 80 14
30 47 17
15 91 16
40 5 12
38 3 13
34 1 14
99 92 20
36 77 18
92 62 11
63 27 12
38 45 17
56 44 11
35 99 16
98 94 12
94 82 13
12 39 20
21 84 19
2 3 14
40 22 14
52 93 17
57 36 12
8 97 18
75 24 15
23 31 15
98 94 12
52 93 15
44 13 16
38 3 17
14 67 18
23 31 11
52 93 18
82 84 18
56 44 17
44 0 16
74 88 16
97 48 14
63 27 15
23 31 16
90 87 12
32 84 10
90 87 17
92 62 15
83 28 18
15 91 18
59 14 15
89 25 20
36 77 19
91 56 17
89 25 15
49 93 14
66 67 10
90 87 16
90 87 16
66 67 15
12 38 16
51 36 19
24 64 15
1 11 10
36 77 14
12 38 13
98 94 12
35 99 17
23 31 15
57 36 20
54 90 20
65 79 12
40 5 20
15 73 13
98 94 11
60 3 19
72 75 18
89 25 17
32 84 11
75 24 20
96 61 20
35 99 16
32 84 17
1 11 12
87 24 17
66 67 14
75 24 14
15 91 12
74 82 19
38 3 12
1 11 13
82 1 15
56 44 16
19 80 17
15 73 16
35 99 15
15 39 11
21 84 20
98 94 12
33 95 11
7 43 16
99 92 15
15 91 13
15 73 15
82 1 17
12 38 19
30 47 18
23 31 14
24 64 10
90 87 13
59 14 16
15 39 11
15 73 16
53 72 18
30 47 12
53 72 18
19 80 16
1 11 13
91 56 16
38 45 10
15 73 13
7 43 15
56 44 18
15 39 14
82 1 16
56 44 18
23 31 15
23 31 12
75 24 20
40 5 13
97 48 15
15 39 18
4 74 11
39 55 10
23 31 18
47 33 10
40 22 12
40 5 11
75 24 20
44 13 20
60 3 12
96 61 15
15 91 11
29 37 19
85 99 11
15 91 12
57 36 19
16 23 11
92 62 17
90 87 11
83 34 16
60 3 13
15 91 19
56 44 18
23 31 18
16 23 10
30 47 10
12 27 16
40 22 19
23 31 11
29 37 19
38 45 19
98 94 18
30 47 10
40 5 10
44 68 15
63 27 14
82 1 10
16 23 17
17 9 17
19 80 11
3 72 14
15 91 12
75 24 17
75 24 14
52 93 10
89 23 17
56 44 13
97 48 10
99 92 12
12 27 17
44 13 12
65 79 14
21 84 12
69 83 10
32 84 13
40 5 15
29 37 20
15 91 20
40 22 15
31 29 17
49 93 14
15 39 14
38 45 17
59 14 16
19 80 19
89 25 13
19 80 15
12 27 10
97 48 15
98 94 11
38 45 19
51 31 18
6 41 18
30 47 17
97 48 17
52 93 11
15 91 19
69 83 13
15 91 14
90 87 11
59 14 15
89 25 11
12 38 14
12 27 15
59 14 14
15 73 15
19 80 15
38 45 11
99 92 13
7 43 12
99 65 11
23 31 13
15 39 16
38 45 19
12 27 14
8 97 14
97 48 17
23 31 16
15 39 11
38 3 14
29 37 10
38 3 18
56 44 15
15 39 13
92 62 11
38 45 16
51 31 10
47 33 16
99 92 13
21 84 15
60 3 17
4 74 19
52 93 11
15 91 14
14 67 19
24 59 16
60 3 20
75 24 11
82 1 20
2 3 20
90 87 15
54 90 17
82 1 10
97 48 12
12 27 11
29 37 17
59 14 18
21 84 17
89 25 10
38 45 12
23 31 16
8 97 10
29 37 20
90 87 18
98 94 19
65 79 14
98 94 15
74 88 16
82 1 17
92 62 16
59 14 15
29 37 10
98 94 18
44 13 15
51 17 14
21 84 11
92 62 17
32 84 16
21 84 12
97 48 15
82 1 11
12 27 18
65 79 11
12 38 16
60 3 19
23 31 14
75 24 18
4 74 10
92 62 14
35 99 16
35 99 14
98 94 19
38 3 16
12 27 17
38 45 14
2 3 20
23 31 17
15 39 12
96 61 14
70 71 16
40 5 10
6 41 18
24 59 20
75 24 14
44 13 14
29 37 16
3 93 12
38 3 19
8 51 19
99 92 16
47 33 16
90 87 15
44 68 14
98 94 10
12 27 18
31 29 18
15 91 13
15 39 16
15 91 13
19 80 15
98 94 19
92 62 16
12 38 12
85 99 10
15 91 13
44 68 13
56 44 17
42 64 11
75 96 11
99 65 20
92 62 12
1 11 13
52 93 19
75 24 17
15 73 11
24 64 19
53 72 20
99 92 17
19 80 10
88 58 14
21 84 12
51 17 17
76 34 18
38 45 12
3 93 12
75 24 11
44 13 15
51 17 11
54 90 19
92 62 18
39 55 15
52 93 18
15 39 19
99 92 11
12 27 20
36 77 18
39 55 10
70 71 17
72 86 12
14 67 11
15 91 10
54 90 12
90 87 17
33 95 18
99 92 17
39 55 17
19 80 16
24 59 11
92 62 11
98 94 15
40 22 16
85 99 10
47 33 19
91 56 10
54 90 20
75 24 12
98 94 14
14 67 20
75 24 17
39 55 10
98 94 12
83 28 12
38 45 20
52 93 18
30 36 10
23 31 20
86 26 14
32 84 17
97 48 13
75 24 15
19 80 20
83 28 16
2 3 20
56 44 11
21 84 14
99 92 16
15 91 15
96 61 18
86 26 16
12 27 11
21 84 13
70 71 14
52 93 10
16 23 20
70 71 14
83 34 15
8 51 17
97 48 13
31 29 10
35 99 10
6 41 15
60 3 19
75 96 14
56 44 18
99 92 14
59 14 10
40 5 20
19 80 16
75 10 16
8 51 14
36 77 13
40 5 16
15 91 10
14 67 17
15 91 11
42 64 18
89 25 17
70 71 20
92 62 14
86 26 13
51 31 18
98 94 12
66 67 15
89 25 18
52 93 14
89 25 18
89 25 15
15 73 15
75 24 17
98 94 20
40 5 11
15 39 16
30 36 20
49 93 13
35 99 10
97 48 10
1 11 14
99 92 20
75 10 16
23 31 10
83 34 14
30 47 15
99 92 17
12 27 13
12 27 14
75 24 16
97 48 14
31 29 15
86 26 16
40 5 13
78 48 11
12 27 19
59 14 18
39 55 19
40 22 17
98 94 13
56 44 10
47 33 18
42 64 14
1 11 15
19 80 19
33 95 11
99 44 16
15 39 20
52 93 19
8 51 13
39 55 13
12 38 18
36 77 10
75 24 14
23 31 15
42 64 11
99 82 19
15 39 19
15 91 18
4 74 18
15 91 15
24 64 17
66 67 18
1 11 17
69 83 11
55 70 14
14 67 11
90 87 17
40 89 12
89 25 18
47 33 11
57 36 13
19 80 16
12 39 10
86 26 18
32 84 13
57 36 18
59 14 11
2 3 20
59 14 13
36 77 12
35 99 20
75 24 13
89 25 20
42 64 15
2 3 15
87 24 16
12 38 19
30 47 10
99 92 10
75 96 16
99 92 18
52 93 17
29 37 10
51 36 20
39 55 16
38 45 13
12 38 13
63 27 19
75 24 19
2 3 10
12 27 19
56 44 13
83 28 16
90 87 16
6 41 14
54 90 20
63 27 12
38 45 14
36 77 15
63 27 14
3 93 12
69 83 16
85 99 14
66 67 18
89 23 14
1 11 14
54 90 20
89 25 13
12 27 19
23 31 19
98 94 12
24 64 15
24 64 10
14 67 13
33 95 10
24 64 10
75 96 10
98 94 17
32 84 10
75 24 20
75 24 11
21 84 18
32 84 15
23 31 16
40 89 10
24 64 18
89 25 11
99 65 19
54 90 20
98 94 20
56 44 15
55 70 10
38 45 20
40 89 14
15 39 18
56 44 20
24 64 19
23 31 15
36 77 15
14 67 10
51 17 10
76 34 20
15 91 20
56 44 12
4 5 13
38 45 18
39 55 13
55 70 11
51 17 11
66 67 17
40 5 19
8 97 14
89 25 14
8 97 12
85 99 14
15 39 11
15 39 11
97 48 10
53 72 19
8 51 15
15 39 20
56 44 13
98 94 18
42 64 14
40 22 15
23 31 19
86 26 11
89 25 20
52 93 17
14 67 18
98 94 20
59 14 13
56 44 19
89 25 17
38 45 12
51 36 18
15 91 20
83 28 15
66 67 19
75 24 19
35 99 18
29 37 12
82 84 17
57 36 10
75 24 16
54 90 11
30 47 10
47 33 15
29 37 16
86 26 14
29 37 19
30 47 12
51 17 10
91 56 18
15 73 17
19 80 18
3 93 14
39 55 10
38 81 19
7 43 16
21 84 10
75 10 20
19 80 10
30 47 15
54 90 17
12 27 19
35 99 20
12 27 15
21 84 13
52 93 10
83 28 18
38 45 11
29 37 19
35 99 12
4 5 16
7 87 14
57 36 20
